name,affiliation,country,orcid,dblp_pid,matched_by,core_papers,extended_papers,venues,last_year,homepage
Alexander Felfernig,Graz University of Technology,at,0000-0003-0108-3146,71/915,orcid,3,13,AAAI;ECAI;RecSys,2026,http://www.ist.tugraz.at/felfernig
Alexander Lex,Graz University of Technology,at,0000-0001-6930-5468,12/7258,orcid,0,8,CHI;KDD,2025,http://alexander-lex.net
Bernhard K. Aichernig,Graz University of Technology,at,0000-0002-3484-5584,a/BKAichernig,orcid,1,1,ACL;IJCAI,2024,http://aichernig.blogspot.com
Bettina Könighofer,Graz University of Technology,at,0000-0001-5183-5452,117/3735,orcid,5,1,AAAI;ICAPS;IJCAI;NeurIPS,2025,https://www.isec.tugraz.at/person/bettina-koenighofer
Birgit Vogtenhuber,Graz University of Technology,at,0000-0002-7166-4467,95/3225,orcid,0,0,,,http://www.ist.tugraz.at/vogtenhuber
Christian Baumgartner,Graz University of Technology,at,0000-0002-3763-5195,35/3110,name,0,0,,,http://www.hce.tugraz.at
Christian Guetl,Graz University of Technology,at,,50/3981,name,0,1,CHI,2021,https://www.tugraz.at/institutes/isds/home
Christian Gütl,Graz University of Technology,at,0000-0001-9589-1966,50/3981,orcid,0,1,CHI,2021,https://www.tugraz.at/institutes/isds/home
Christian Rechberger,Graz University of Technology,at,0000-0003-1280-6020,39/16,orcid,0,0,,,https://www.iaik.tugraz.at/content/about_iaik/people/rechberger_christian
Daniel Gruss,Graz University of Technology,at,0000-0002-7977-3246,166/1494,orcid,0,0,,,https://gruss.cc
David García 0001,Graz University of Technology,at,0000-0002-2820-9151,37/3550,orcid,1,1,ACL,2025,https://dgarcia.eu/curriculum-vitae
David García Becerra,Graz University of Technology,at,,37/3550,name,1,1,ACL,2025,https://dgarcia.eu/curriculum-vitae
Denis Helic,Graz University of Technology,at,0000-0003-0725-7450,11/6129,orcid,0,4,RecSys;WWW,2026,http://kti.tugraz.at/about-kti/team/dhelic
Denis Kalkofen,Graz University of Technology,at,0000-0002-0359-206X,27/2571,orcid,0,1,CHI,2023,https://www.tugraz.at/institute/icg/research/team-schmalstieg/team/team-about/denis-kalkofen
Dietrich Albert,Graz University of Technology,at,0000-0001-6701-3058,42/6842,orcid,0,0,,,http://cognitive-science.at/team/dietrich-albert
Eduardo E. Veas,Graz University of Technology,at,0000-0002-0356-4034,46/2797,orcid,2,1,ECAI;NeurIPS;TMLR,2025,https://www.tugraz.at/institutes/icg/institute/people
Elisabeth Lex,Graz University of Technology,at,0000-0001-5293-2967,88/6931,orcid,0,16,RecSys;SIGIR;WWW,2025,http://www.elisabethlex.info
Frank Kappe,Graz University of Technology,at,,93/6592,name,0,0,,,https://www.tugraz.at/institutes/isds/home
Franz Aurenhammer,Graz University of Technology,at,,27/2235,name,0,0,,,https://www.tugraz.at/institute/igi/team/prof-aurenhammer
Franz Leberl,Graz University of Technology,at,,08/817,name,0,0,,,http://www.leberl.info
Franz W. Leberl,Graz University of Technology,at,,08/817,name,0,0,,,http://www.leberl.info
Franz Wotawa,Graz University of Technology,at,0000-0002-0462-2283,w/FranzWotawa,orcid,2,2,AAAI;ECAI,2026,http://www.ist.tugraz.at/staff/wotawa
Friedrich Fraundorfer,Graz University of Technology,at,0000-0002-5805-8892,60/2234,orcid,13,0,CVPR;ECCV;ICCV;ICRA;IJCV;TPAMI,2025,https://www.tugraz.at/institute/icg/research/team-fraundorfer/people/friedrich-fraundorfer
Gerald Steinbauer,Graz University of Technology,at,0000-0001-9374-7864,51/4185,name,2,0,ICRA;IROS,2024,http://www.ist.tugraz.at/steinbauer/Main_Page
Gerhard A. Holzapfel,Graz University of Technology,at,,06/6182,name,0,0,,,https://www.biomech.tugraz.at/people/gerhard_holzapfel
Gerhard G. Thallinger,Graz University of Technology,at,0000-0002-2864-5404,32/1863,orcid,0,0,,,https://genome.tugraz.at/people.shtml
Gerhard Sommer,Graz University of Technology,at,0000-0003-3897-5957,250/3061,name,0,0,,,https://www.biomech.tugraz.at/index.php/people/gerhard_sommer
Gernot R. Müller,Graz University of Technology,at,,08/2225,name,0,0,,,https://www.tugraz.at/institute/ine/people/gernot-mueller-putz
Gernot R. Müller-Putz,Graz University of Technology,at,0000-0002-0087-3720,08/2225,orcid,0,0,,,https://www.tugraz.at/institute/ine/people/gernot-mueller-putz
Hermann A. Maurer,Graz University of Technology,at,,m/HermannAMaurer,name,0,0,,,https://www2.isds.tugraz.at/maurer
Hermann Maurer,Graz University of Technology,at,0000-0002-9956-2032,m/HermannAMaurer,name,0,0,,,https://www2.isds.tugraz.at/maurer
Hermann Scharfetter,Graz University of Technology,at,,24/10559,name,0,0,,,https://www.tugraz.at/institutes/imt/home
Horst Bischof,Graz University of Technology,at,0000-0002-9096-6671,69/3793,orcid,16,3,AAAI;CVPR;ECCV;ICASSP;ICCV;ICRA;IROS;MICCAI;NeurIPS,2026,https://www.tugraz.at/institute/icg/research/team-bischof/people/team-about/horst-bischof
Joerg Schroettner,Graz University of Technology,at,,134/3678,name,0,0,,,https://www.tugraz.at/institute/hce/institut/team
Johanna Pirker,Graz University of Technology,at,,131/6942,name,0,2,CHI,2024,http://jpirker.com
Johannes P. Wallner,Graz University of Technology,at,,15/10093,name,6,9,AAAI;AAMAS;IJCAI;KR,2026,https://wallner.ist.tugraz.at
Jörg Schröttner,Graz University of Technology,at,,134/3678,name,0,0,,,https://www.tugraz.at/institute/hce/institut/team
Keith Andrews,Graz University of Technology,at,,73/5332,name,0,0,,,https://keithandrews.com/keith
Kerstin Lenk,Graz University of Technology,at,0000-0002-8329-1127,35/7963,name,0,0,,,https://www.tugraz.at/institute/ine/people/kerstin-lenk
Leila Taher,Graz University of Technology,at,0000-0002-2013-5426,62/4824,name,0,0,,,https://www.tugraz.at/institute/bioinfo/institute/team
Maria Eichlseder,Graz University of Technology,at,0000-0002-8750-7423,145/1733,orcid,0,0,,,https://eichlseder.at
Markus Steinberger,Graz University of Technology,at,0000-0001-5977-8536,89/9395,name,6,1,CVPR;ECCV;ICCV;SIGGRAPH,2026,https://www.markussteinberger.net
Martin Ebner,Graz University of Technology,at,0000-0001-5789-5296,25/2346,name,0,0,,,https://elearningblog.tugraz.at/page/martinebner//?lng=de&sct=home
Nick Scerbakov,Graz University of Technology,at,,63/4224,name,0,0,,,https://coronet.iicm.tugraz.at/Dbase1/nick1.htm
Nick Scherbakov,Graz University of Technology,at,,63/4224,name,0,0,,,https://coronet.iicm.tugraz.at/Dbase1/nick1.htm
Nikolai Scerbakov,Graz University of Technology,at,,63/4224,name,0,0,,,https://coronet.iicm.tugraz.at/Dbase1/nick1.htm
Oswin Aichholzer,Graz University of Technology,at,0000-0002-2364-0583,33/289,orcid,0,0,,,http://www.ist.tugraz.at/aichholzer
Robert Legenstein,Graz University of Technology,at,0000-0002-8724-5507,54/683,orcid,6,0,CVPR;ICLR;ICML;IROS;TMLR;TPAMI,2025,https://www.tugraz.at/institute/igi/team/prof-legenstein
Roderick Bloem,Graz University of Technology,at,0000-0002-1411-5744,80/1300,orcid,0,1,ICAPS,2023,https://www.iaik.tugraz.at/content/about_iaik/people/bloem_roderick
Roderick Paul Bloem,Graz University of Technology,at,,80/1300,name,0,1,ICAPS,2023,https://www.iaik.tugraz.at/content/about_iaik/people/bloem_roderick
Roman Kern,Graz University of Technology,at,0000-0003-0202-6100,85/6799,name,3,0,ACL;NAACL;TMLR,2025,http://kti.tugraz.at/staff/rkern/about
Rudolf Stollberger,Graz University of Technology,at,,78/4173,name,0,0,,,https://www.tugraz.at/institutes/imt/home
Selina C. Wriessnegger,Graz University of Technology,at,,159/9248,name,0,0,,,https://www.tugraz.at/institutes/ine/people/selina-wriessnegger
Selina Christin Wriessnegger,Graz University of Technology,at,,159/9248,name,0,0,,,https://www.tugraz.at/institutes/ine/people/selina-wriessnegger
Stefan Mangard,Graz University of Technology,at,0000-0001-9650-8041,91/4831,orcid,1,0,ICML,2024,https://www.iaik.tugraz.at/content/about_iaik/people/mangard_stefan
Stefanie N. Lindstaedt,Graz University of Technology,at,,95/3263,name,0,0,,,https://www.ffg.at/content/prof-dr-stefanie-n-lindstaedt
Stefanie N. Lindstädt,Graz University of Technology,at,,95/3263,name,0,0,,,https://www.ffg.at/content/prof-dr-stefanie-n-lindstaedt
Sujoy Sinha Roy,Graz University of Technology,at,0000-0002-9805-5389,31/9547,orcid,0,0,,,https://www.iaik.tugraz.at/person/sujoy-sinha-roy
Theresa Rienmüller,Graz University of Technology,at,,128/5955,name,0,0,,,https://www.tugraz.at/institute/hce/institut/team
Thomas Pock,Graz University of Technology,at,0000-0001-6120-1058,48/6407,orcid,8,1,ACL;CVPR;ECCV;ICML;IJCV;TPAMI,2026,https://www.tugraz.at/institute/icg/research/team-pock/people/pock
Tobias Schreck,Graz University of Technology,at,0000-0003-0778-8665,81/2498,orcid,0,4,CHI;SIGIR;WWW,2026,https://www.tugraz.at/institute/cgv/schreck
Ursula H. Augsdörfer,Graz University of Technology,at,0000-0003-2336-4686,81/3663,orcid,0,0,,,https://www.tugraz.at/institute/cgv/ursula-augsdoerfer
Viktoria Pammer,Graz University of Technology,at,,55/61,name,0,4,CHI,2025,https://viktoriapammer.wordpress.com
Viktoria Pammer-Schindler,Graz University of Technology,at,0000-0001-7061-8947,55/61,orcid,0,4,CHI,2025,https://viktoriapammer.wordpress.com
Vincent Lepetit,Graz University of Technology,at,0000-0001-9985-4433,80/5556,orcid,27,3,CVPR;ECCV;ICCV;ICLR;IROS;MICCAI;NeurIPS;TPAMI,2025,https://www.labri.fr/perso/vlepetit
Wolfgang Maass 0001,Graz University of Technology,at,,m/WolfgangMaass,name,0,2,Nature Machine Intelligence,2022,https://igi-web.tugraz.at/people/maass
Wolfgang Maaß 0001,Graz University of Technology,at,,m/WolfgangMaass,name,0,2,Nature Machine Intelligence,2022,https://igi-web.tugraz.at/people/maass
Wolfgang Slany,Graz University of Technology,at,,s/WolfgangSlany,name,0,0,,,http://www.ist.tugraz.at/wolfgang_slany.html
Yannic Maus,Graz University of Technology,at,0000-0003-4062-6991,164/5605,orcid,0,0,,,https://academia.yannicmaus.de
Anna Kicheva,IST Austria,at,,391/3389,name,0,0,,,https://ist.ac.at/research/research-groups/kicheva-group
Björn Hof,IST Austria,at,,196/3798,name,0,0,,,https://ist.ac.at/research/research-groups/hof-group
Calin C. Guet,IST Austria,at,,116/4766,name,0,0,,,https://ist.ac.at/research/research-groups/guet-group
Carl-Philipp Heisenberg,IST Austria,at,,117/3844,name,0,0,,,https://ist.ac.at/research/research-groups/heisenberg-group
Chris Wojtan,IST Austria,at,0000-0001-6646-5546,63/6000,orcid,0,1,SIGGRAPH,2024,http://pub.ist.ac.at/group_wojtan
Christoph H. Lampert,IST Austria,at,0000-0001-8622-7887,67/2136,orcid,18,0,CVPR;ECCV;ICLR;ICML;JMLR;NeurIPS;TMLR,2025,http://ist.ac.at/~chl
Christoph Lambert,IST Austria,at,,172/9506,name,0,0,,,http://ist.ac.at/~chl
Christoph Lampert,IST Austria,at,0000-0001-8622-7887,67/2136,orcid,18,0,CVPR;ECCV;ICLR;ICML;JMLR;NeurIPS;TMLR,2025,http://ist.ac.at/~chl
Christopher Wojtan,IST Austria,at,0000-0001-6646-5546,63/6000,orcid,0,1,SIGGRAPH,2024,http://pub.ist.ac.at/group_wojtan
Dan Alistarh,IST Austria,at,0000-0003-3650-940X,36/3251,orcid,58,0,AAAI;ACL;AISTATS;CVPR;EACL;EMNLP;ICLR;ICML;JMLR;NAACL;NeurIPS;TMLR,2026,https://ist.ac.at/research/research-groups/alistarh-group
Daria Siekhaus,IST Austria,at,,,,0,0,,,https://ist.ac.at/research/research-groups/siekhaus-group
Eleftherios Kokoris-Kogias,IST Austria,at,,176/5301,name,0,0,,,https://ist.ac.at/en/research/kokoris-group
Francesco Locatello,IST Austria,at,0000-0002-4850-0683,195/6074,orcid,55,0,AISTATS;CVPR;ICCV;ICLR;ICML;IJCAI;NeurIPS;TMLR,2025,https://ist.ac.at/en/research/locatello-group
G. Katsaros,IST Austria,at,,73/1421,name,0,0,,,https://ist.ac.at/research/research-groups/katsaros-group
Herbert Edelsbrunner,IST Austria,at,,e/HerbertEdelsbrunner,name,0,0,,,https://ist.ac.at/research/research-groups/edelsbrunner-group
Jan Maas,IST Austria,at,,130/5522,name,1,0,TMLR,2024,https://ist.ac.at/research/research-groups/maas-group
Jiri Friml,IST Austria,at,,,,0,0,,,https://ist.ac.at/research/research-groups/friml-group
Johannes Fink,IST Austria,at,,123/9340,name,0,0,,,https://ist.ac.at/research/research-groups/fink-group
Jonathan P. Bollback,IST Austria,at,,09/865,name,0,0,,,https://ist.ac.at/research/research-groups/bollback-group
Jozsef Csicsvari,IST Austria,at,,,,0,0,,,https://ist.ac.at/research/research-groups/csicsvari-group
Julian Fischer,IST Austria,at,,132/3850,name,0,0,,,https://ist.ac.at/research/research-groups/fischer-group
Krishnendu Chatterjee,IST Austria,at,0000-0002-4561-241X,92/5602,orcid,16,0,AAAI;COLT;ICML;IJCAI;NeurIPS;UAI,2026,http://pub.ist.ac.at/~kchatterjee
Krzysztof Pietrzak,IST Austria,at,0000-0002-9139-1654,12/5020,name,0,0,,,https://ist.ac.at/research/research-groups/pietrzak-group
Lefteris Kokoris-Kogias,IST Austria,at,0000-0002-8827-3382,176/5301,orcid,0,0,,,https://ist.ac.at/en/research/kokoris-group
László Erdös,IST Austria,at,,223/5449,name,0,0,,,https://ist.ac.at/research/research-groups/erdoes-group
Maksim Serbyn,IST Austria,at,,,,0,0,,,https://serbyn.github.io/site
Marco Mondelli,IST Austria,at,0000-0002-3242-7020,120/7089,name,28,1,AISTATS;COLT;ICASSP;ICLR;ICML;JMLR;NeurIPS;TMLR,2025,http://marcomondelli.com
Martin Loose,IST Austria,at,,155/2761,name,0,0,,,https://ist.ac.at/research/research-groups/loose-group
Maximilian Jösch,IST Austria,at,,,,0,0,,,https://ist.ac.at/research/research-groups/joesch-group
Michael Sammler,IST Austria,at,0000-0003-4591-743X,248/1613,orcid,0,0,,,https://pub.ista.ac.at/~msammler
Michael Sixt,IST Austria,at,,432/3798,name,0,0,,,https://ist.ac.at/research/research-groups/sixt-group
Mikhail Lemeshko,IST Austria,at,,308/3915,name,0,0,,,https://ist.ac.at/research/research-groups/lemeshko-group
Monika Henzinger,IST Austria,at,0000-0002-5008-6530,h/MonikaRauchHenzinger,orcid,6,1,AISTATS;ICML;KDD;NeurIPS,2025,https://ist.ac.at/de/forschung/henzinger_monika-gruppe
Monika Rauch,IST Austria,at,,h/MonikaRauchHenzinger,name,6,1,AISTATS;ICML;KDD;NeurIPS,2025,https://ist.ac.at/de/forschung/henzinger_monika-gruppe
Monika Rauch Henzinger,IST Austria,at,,h/MonikaRauchHenzinger,name,6,1,AISTATS;ICML;KDD;NeurIPS,2025,https://ist.ac.at/de/forschung/henzinger_monika-gruppe
Nicholas H. Barton,IST Austria,at,,64/3423,name,0,0,,,https://ist.ac.at/research/research-groups/barton-group
Nick Barton,IST Austria,at,,64/3423,name,0,0,,,https://ist.ac.at/research/research-groups/barton-group
Peter Jonas,IST Austria,at,,288/9497,name,0,0,,,https://ist.ac.at/research/research-groups/jonas-group
Robert Seiringer,IST Austria,at,,35/8860,name,0,0,,,https://ist.ac.at/research/research-groups/seiringer-group
Ryuichi Shigemoto,IST Austria,at,,,,0,0,,,https://ist.ac.at/research/research-groups/shigemoto-group
Sandra Siegert,IST Austria,at,,413/8719,name,0,0,,,https://ist.ac.at/research/research-groups/siegert-group
Simon Hippenmeyer,IST Austria,at,,,,0,0,,,https://ist.ac.at/research/research-groups/hippenmeyer-group
Tamas Hausel,IST Austria,at,,,,0,0,,,https://ist.ac.at/research/research-groups/hausel-group
Thomas A. Henzinger,IST Austria,at,0000-0002-2985-7724,h/ThomasAHenzinger,orcid,11,1,AAAI;ICRA;KDD;NeurIPS,2025,http://pub.ist.ac.at/~tah
Tobias Bollenbach,IST Austria,at,,311/6283,name,0,0,,,https://ist.ac.at/research/research-groups/bollenbach-group
Uli Wagner 0001,IST Austria,at,0000-0002-1494-0568,65/3538-1,orcid,0,0,,,https://ist.ac.at/research/research-groups/wagner-group
Vladimir Kolmogorov,IST Austria,at,0000-0002-7625-8986,89/3764,orcid,2,0,CVPR;ICML,2023,http://pub.ist.ac.at/~vnk
Alexander Egyed,JKU Linz,at,0000-0003-3128-5427,20/5529,orcid,0,0,,,https://www.jku.at/en/institute-for-software-systems-engineering/about-us/team/alexander-egyed
Alois Zoitl,JKU Linz,at,0000-0002-1306-3209,98/665,orcid,0,0,,,https://www.jku.at/linz-institute-of-technology/forschung/research-labs/cyber-physical-systems-lab/team/univ-prof-di-dr-alois-zoitl
Barbara Sabitzer,JKU Linz,at,,96/10407,name,0,0,,,https://www.jku.at/linz-school-of-education/ueber-uns/team/mint/sabitzer-barbara
Bettina Grün,JKU Linz,at,0000-0001-7265-4773,15/2833,orcid,0,0,,,https://www.jku.at/institut-fuer-angewandte-statistik/ueber-uns/team/assoz-univ-profin-dipl-ingin-drin-bettina-gruen
Birgit Pröll,JKU Linz,at,,86/1549,name,0,0,,,https://www.jku.at/en/faw/about-us/team/birgit-proell
Gabriele Anderst-Kotsis,JKU Linz,at,,158/7753,name,0,0,,,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/gabriele-anderst-kotsis
Gabriele Kotsis,JKU Linz,at,,158/7753,name,0,0,,,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/gabriele-anderst-kotsis
Gerhard Widmer,JKU Linz,at,0000-0003-3531-1282,w/GerhardWidmer,orcid,5,4,ICASSP;IJCAI;Interspeech,2025,https://www.jku.at/en/institute-of-computational-perception/about-us/people/gerhard-widmer
Hanspeter Mössenböck,JKU Linz,at,0000-0001-7706-7308,m/HMossenbock,orcid,0,0,,,http://ssw.jku.at/General/Staff/HM
Harald Pretl,JKU Linz,at,,133/4332,name,0,0,,,http://iic.jku.at/analog/team/pretl
Herbert Praehofer,JKU Linz,at,,p/HerbertPraehofer,name,0,0,,,https://www.jku.at/institut-fuer-systemsoftware/team/praehofer-herbert
Herbert Prähofer,JKU Linz,at,,p/HerbertPraehofer,name,0,0,,,https://www.jku.at/institut-fuer-systemsoftware/team/praehofer-herbert
