inst_id,country,name,title_verbatim,matched_rule,verdict,tier,group_or_dept,other_affiliations,personal_url,evidence_url,notes
de-bht,de,Katharina Afflerbach,Prof. Dr. Katharina Afflerbach,Prof,include,T1,Professorin (Betriebswirtschaftslehre / Personalmanagement); Fachbereich I – Wirtschafts- und Gesellschaftswissenschaften; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/1733,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1733 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich I Personen list: Betriebswirtschaftslehre / Personalmanagement (https://www.bht-berlin.de/30)."
de-bht,de,Ralf Ahlbrink,Prof. Dr. Ralf Ahlbrink,Prof,include,T1,Professor (Physikalische Technik); Fachbereich II – Mathematik – Physik – Chemie; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/1898,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1898 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich II Personen list: Physikalische Technik (https://www.bht-berlin.de/86)."
de-bht,de,Silke Aschmann,Prof. Dr. Silke Aschmann,Prof,include,T1,Professorin (Betriebswirtschaftslehre/ Controlling); Fachbereich I – Wirtschafts- und Gesellschaftswissenschaften; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/2521,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/2521 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich I Personen list: Betriebswirtschaftslehre/ Controlling (https://www.bht-berlin.de/30)."
de-bht,de,Susanne Auffermann-Lemmer,Prof. Diplome Regie general Susanne Auffermann-Lemmer,Prof,include,T1,"Professorin (Beleuchtungstechnik und Lichtgestaltung); Fachbereich VIII – Maschinenbau, Veranstaltungstechnik, Verfahrenstechnik; Berliner Hochschule für Technik (BHT)",,,https://www.bht-berlin.de/people/detail/196,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/196 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich VIII Personen list: Beleuchtungstechnik und Lichtgestaltung (https://www.bht-berlin.de/101)."
de-bht,de,Johannes Bader,Prof. Dr.-Ing. Johannes Bader,Prof,include,T1,Professor (Aufarbeitungstechnik); Fachbereich V – Life Sciences and Technology; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/bader/,https://www.bht-berlin.de/people/detail/1443,"RESEARCH GROUP/LAB: Laborleiter, Biotechnikum (stated on https://www.bht-berlin.de/people/detail/1443) Denomination (Lehrgebiet) on the Fachbereich V Personen list: Aufarbeitungstechnik (https://www.bht-berlin.de/98). Lab page(s): https://www.bht-berlin.de/labor/detail/btk."
de-bht,de,Karoline Barthel,Prof. Dr. rer. oec. Karoline Barthel,Prof,include,T1,Professorin (Betriebswirtschaftslehre / Personalmanagement); Fachbereich I – Wirtschafts- und Gesellschaftswissenschaften; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/210,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/210 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich I Personen list: Betriebswirtschaftslehre / Personalmanagement (https://www.bht-berlin.de/30)."
de-bht,de,Khaled Bathich,Prof. Dr.-Ing. Khaled Bathich,Prof,include,T1,Professor; Fachbereich VII – Elektrotechnik – Mechatronik – Optometrie; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/bathich,https://www.bht-berlin.de/people/detail/2023,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/2023 (page lists only the professorship and any teaching/committee functions)."
de-bht,de,Markus Bautsch,Prof. Dr.-Ing. Markus Bautsch,Prof,include,T1,Professor (Realisierung und Design optomechatronischer Systeme); Fachbereich VII – Elektrotechnik – Mechatronik – Optometrie; Berliner Hochschule für Technik (BHT),,http://prof.bht-berlin.de/bautsch,https://www.bht-berlin.de/people/detail/2708,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/2708 (page lists only the professorship and any teaching/committee functions). Denomination (Lehrgebiet) on the Fachbereich VII Personen list: Realisierung und Design optomechatronischer Systeme (https://www.bht-berlin.de/100)."
de-bht,de,Ingeborg Beckers,Prof. Dr. Ingeborg Beckers,Prof,include,T1,Professorin (Medizinphysik); Fachbereich II – Mathematik – Physik – Chemie; Berliner Hochschule für Technik (BHT),,,https://www.bht-berlin.de/people/detail/215,"RESEARCH GROUP/LAB: Laborleiterin, Optik und Lasertechnik (stated on https://www.bht-berlin.de/people/detail/215) Other stated functions: Vertreterin der Professoren und Professorinnen, Kommission für Forschung und Förderung des wissenschaftlichen Nachwuchses. Denomination (Lehrgebiet) on the Fachbereich II Personen list: Medizinphysik (https://www.bht-berlin.de/86). Lab page(s): https://www.bht-berlin.de/labor/detail/olt."
de-bht,de,Martin Behne,Prof. Dr.-Ing. Martin Behne,Prof,include,T1,Professor (Gebäudetechnik); Fachbereich IV – Architektur und Gebäudetechnik; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/behne,https://www.bht-berlin.de/people/detail/218,"RESEARCH GROUP/LAB: Laborleiter, Bausanierung und Energieeffizienz (stated on https://www.bht-berlin.de/people/detail/218) Other stated functions: Beauftragter für die Anerkennung von Studienleistungen, Planung nachhaltiger Gebäude (Master) | Studienfachberater, Planung nachhaltiger Gebäude (Master) | BAföG-Beauftragter, Architektur (Bachelor) | BAföG-Beauftragter, Architektur (Master) | BAföG-Beauftragter, Planung nachhaltiger Gebäude (Master). Denomination (Lehrgebiet) on the Fachbereich IV Personen list: Gebäudetechnik (https://www.bht-berlin.de/97). Lab page(s): https://www.bht-berlin.de/labor/detail/lfbe."
de-bht,de,Felix Bießmann,Prof. Dr. rer. nat. Felix Bießmann,Prof,include,T1,Professor (Maschinelles Lernen); Fachbereich VI – Informatik und Medien; Berliner Hochschule für Technik (BHT),,https://prof.bht-berlin.de/biessmann/,https://www.bht-berlin.de/people/detail/1904,"No research group, lab or Forschungsschwerpunkt leadership stated on https://www.bht-berlin.de/people/detail/1904 (page lists only the professorship and any teaching/committee functions). Other stated functions: Vorsitzender, Prüfungsausschuss Data Science. Denomination (Lehrgebiet) on the Fachbereich VI Personen list: Maschinelles Lernen (https://www.bht-berlin.de/99)."
