name,affiliation,country,homepage,scholarid,orcid
Alexander Felfernig,Graz University of Technology,at,http://www.ist.tugraz.at/felfernig,ZD0F-a0AAAAJ,0000-0003-0108-3146
Alexander Lex,Graz University of Technology,at,http://alexander-lex.net,JFNLCUcAAAAJ,0000-0001-6930-5468
Bernhard K. Aichernig,Graz University of Technology,at,http://aichernig.blogspot.com,O6dEPWYAAAAJ,0000-0002-3484-5584
Bettina Könighofer,Graz University of Technology,at,https://www.isec.tugraz.at/person/bettina-koenighofer,oryeMcgAAAAJ,0000-0001-5183-5452
Birgit Vogtenhuber,Graz University of Technology,at,http://www.ist.tugraz.at/vogtenhuber,NOSCHOLARPAGE,0000-0002-7166-4467
Christian Baumgartner,Graz University of Technology,at,http://www.hce.tugraz.at,NOSCHOLARPAGE,0000-0002-3763-5195
Christian Guetl,Graz University of Technology,at,https://www.tugraz.at/institutes/isds/home,NoAiKpcAAAAJ,
Christian Gütl,Graz University of Technology,at,https://www.tugraz.at/institutes/isds/home,NoAiKpcAAAAJ,0000-0001-9589-1966
Christian Rechberger,Graz University of Technology,at,https://www.iaik.tugraz.at/content/about_iaik/people/rechberger_christian,0HMdWcUAAAAJ,0000-0003-1280-6020
Daniel Gruss,Graz University of Technology,at,https://gruss.cc,JmCg4uQAAAAJ,0000-0002-7977-3246
David García 0001,Graz University of Technology,at,https://dgarcia.eu/curriculum-vitae,nHb01mMAAAAJ,0000-0002-2820-9151
David García Becerra,Graz University of Technology,at,https://dgarcia.eu/curriculum-vitae,nHb01mMAAAAJ,
Denis Helic,Graz University of Technology,at,http://kti.tugraz.at/about-kti/team/dhelic,7tAilWQAAAAJ,0000-0003-0725-7450
Denis Kalkofen,Graz University of Technology,at,https://www.tugraz.at/institute/icg/research/team-schmalstieg/team/team-about/denis-kalkofen,cEngYLkAAAAJ,0000-0002-0359-206X
Dietrich Albert,Graz University of Technology,at,http://cognitive-science.at/team/dietrich-albert,bTDhizEAAAAJ,0000-0001-6701-3058
Eduardo E. Veas,Graz University of Technology,at,https://www.tugraz.at/institutes/icg/institute/people,-78yV4YAAAAJ,0000-0002-0356-4034
Elisabeth Lex,Graz University of Technology,at,http://www.elisabethlex.info,kEzfvdYAAAAJ,0000-0001-5293-2967
Frank Kappe,Graz University of Technology,at,https://www.tugraz.at/institutes/isds/home,OGG4eAUAAAAJ,
Franz Aurenhammer,Graz University of Technology,at,https://www.tugraz.at/institute/igi/team/prof-aurenhammer,9F2RaXkAAAAJ,
Franz Leberl,Graz University of Technology,at,http://www.leberl.info,-s4b1XAAAAAJ,
Franz W. Leberl,Graz University of Technology,at,http://www.leberl.info,-s4b1XAAAAAJ,
Franz Wotawa,Graz University of Technology,at,http://www.ist.tugraz.at/staff/wotawa,Z27gH2wAAAAJ,0000-0002-0462-2283
Friedrich Fraundorfer,Graz University of Technology,at,https://www.tugraz.at/institute/icg/research/team-fraundorfer/people/friedrich-fraundorfer,M0boL5kAAAAJ,0000-0002-5805-8892
Gerald Steinbauer,Graz University of Technology,at,http://www.ist.tugraz.at/steinbauer/Main_Page,aXkPAnEAAAAJ,0000-0001-9374-7864
Gerhard A. Holzapfel,Graz University of Technology,at,https://www.biomech.tugraz.at/people/gerhard_holzapfel,TCfOWgUAAAAJ,
Gerhard G. Thallinger,Graz University of Technology,at,https://genome.tugraz.at/people.shtml,aMG6ceMAAAAJ,0000-0002-2864-5404
Gerhard Sommer,Graz University of Technology,at,https://www.biomech.tugraz.at/index.php/people/gerhard_sommer,gD2-pFUAAAAJ,0000-0003-3897-5957
Gernot R. Müller,Graz University of Technology,at,https://www.tugraz.at/institute/ine/people/gernot-mueller-putz,NkODKfIAAAAJ,
Gernot R. Müller-Putz,Graz University of Technology,at,https://www.tugraz.at/institute/ine/people/gernot-mueller-putz,NkODKfIAAAAJ,0000-0002-0087-3720
Hermann A. Maurer,Graz University of Technology,at,https://www2.isds.tugraz.at/maurer,2rUZR9MAAAAJ,
Hermann Maurer,Graz University of Technology,at,https://www2.isds.tugraz.at/maurer,2rUZR9MAAAAJ,0000-0002-9956-2032
